model,signature,threshold
model_4.pth,SBS45,0.4
model_4.pth,SBS51,0.4
model_4.pth,SBS52,0.4
model_4.pth,SBS54,0.4
model_4.pth,SBS56,0.4
model_4.pth,SBS58,0.4
model_4.pth,SBS60,0.4
model_5.pth,SBS1,0.4
model_5.pth,SBS2,0.4
model_5.pth,SBS3,0.4
model_5.pth,SBS4,0.4
model_5.pth,SBS5,0.4
model_5.pth,SBS6,0.4
model_5.pth,SBS7a,0.4
model_5.pth,SBS7b,0.4
model_5.pth,SBS7c,0.4
model_5.pth,SBS7d,0.4
model_5.pth,SBS8,0.4
model_5.pth,SBS9,0.4
model_5.pth,SBS10a,0.4
model_5.pth,SBS10b,0.4
model_5.pth,SBS12,0.4
model_5.pth,SBS13,0.4
model_5.pth,SBS14,0.4
model_5.pth,SBS15,0.4
model_5.pth,SBS16,0.4
model_5.pth,SBS17a,0.4
model_5.pth,SBS17b,0.4
model_5.pth,SBS18,0.4
model_5.pth,SBS19,0.4
model_5.pth,SBS20,0.4
model_5.pth,SBS21,0.4
model_5.pth,SBS22,0.4
model_5.pth,SBS23,0.4
model_5.pth,SBS24,0.4
model_5.pth,SBS26,0.4
model_5.pth,SBS28,0.4
model_5.pth,SBS29,0.4
model_5.pth,SBS30,0.4
model_5.pth,SBS31,0.4
model_5.pth,SBS32,0.4
model_5.pth,SBS33,0.4
model_5.pth,SBS34,0.4
model_5.pth,SBS35,0.4
model_5.pth,SBS36,0.4
model_5.pth,SBS37,0.4
model_5.pth,SBS38,0.4
model_5.pth,SBS39,0.4
model_5.pth,SBS40,0.4
model_5.pth,SBS41,0.4
model_5.pth,SBS44,0.4
model_5.pth,SBS45,0.4
model_5.pth,SBS51,0.4
model_5.pth,SBS52,0.4
model_5.pth,SBS54,0.4
model_5.pth,SBS56,0.4
model_5.pth,SBS58,0.4
model_5.pth,SBS60,0.4
